scholarship_name,organization,amount,application_deadline,eligibility_requirements,branch_specific,education_level,award_type,renewable,contact_email,website,notes
American Veterans (AMVET) Memorial Scholarship,AMVETS,"$4,000",April 15,"Veterans, active-duty, dependents",All Branches,Undergraduate/Graduate,Merit-based,No,scholarships@amvets.org,https://www.amvets.org,"Strong academics required"
Blinded Veterans Association Scholarship,BVA,"$2,000",April 14,"Legally blind veterans and dependents",All Branches,Undergraduate/Graduate,Need-based,Yes,bva@bva.org,https://www.bva.org,"Vision impairment required"
Fleet Reserve Association Scholarship,FRA,"$5,000",April 15,"FRA members, spouses, dependents",Navy/Marine Corps/Coast Guard,Undergraduate/Graduate,Merit-based,No,scholars@fra.org,https://www.fra.org,"Sea services enlisted"
Dolphin Scholarship Foundation,Dolphin Scholarship Foundation,"$3,500",March 15,"Children of submarine force members",Navy,Undergraduate,Need-based,Yes,scholars@dolphinscholarship.org,https://www.dolphinscholarship.org,"Submarine community"
Surface Navy Association Scholarship,SNA,"$2,000",March 1,"Surface warfare community dependents",Navy,Undergraduate,Merit-based,No,scholarships@navysna.org,https://www.navysna.org,"Surface warfare focus"
Navy Supply Corps Foundation Scholarship,NSCF,"$2,500",April 1,"Supply Corps community dependents",Navy,Undergraduate,Merit-based,No,scholarship@usnscf.com,https://www.usnscf.com,"Logistics focus"
Association of the United States Army Scholarship,AUSA,"$2,000",July 1,"AUSA members and families",Army,Undergraduate,Merit-based,No,ausa-info@ausa.org,https://www.ausa.org,"AUSA membership required"
National Defense Transportation Association Scholarship,NDTA,"$3,500",March 1,"Veterans pursuing logistics degrees",All Branches,Undergraduate/Graduate,Merit-based,No,info@ndtahq.com,https://www.ndtahq.com,"Transportation/logistics focus"
Society of Military Widows Scholarship,SMW,"$2,000",March 1,"Surviving spouses of military members",All Branches,Undergraduate/Graduate,Need-based,No,info@militarywidows.org,https://www.militarywidows.org,"Widows/widowers only"
Gold Star Wives Scholarship,Gold Star Wives,"$2,500",April 1,"Surviving spouses and children",All Branches,Undergraduate,Need-based,No,info@goldstarwives.org,https://www.goldstarwives.org,"Fallen service members' families"
Tragedy Assistance Program for Survivors Scholarship,TAPS,"$5,000",March 15,"Surviving children of fallen service members",All Branches,Undergraduate,Need-based,Yes,info@taps.org,https://www.taps.org,"Grief support included"
Children of Fallen Patriots Foundation Scholarship,Fallen Patriots,"Full Tuition",Rolling,"Children of service members who died in line of duty",All Branches,Undergraduate,Need-based,Yes,info@fallenpatriots.org,https://www.fallenpatriots.org,"Covers full tuition gap"
Intrepid Fallen Heroes Fund Scholarship,Intrepid Fallen Heroes,"$5,000",May 1,"Veterans with TBI, PTSD",All Branches,Undergraduate/Graduate,Need-based,No,info@fallenheroesfund.org,https://www.fallenheroesfund.org,"Traumatic injury focus"
Hope For The Warriors Spouse Scholarship,Hope For The Warriors,"$3,000",March 1,"Military spouses facing transition",All Branches,Undergraduate/Graduate/Certification,Need-based,No,hope@hopeforthewarriors.org,https://www.hopeforthewarriors.org,"Spouse career development"
Student Veterans of America Scholarship,SVA,"$2,000",February 15,"Student veteran chapter members",All Branches,Undergraduate/Graduate,Merit-based,No,info@studentveterans.org,https://www.studentveterans.org,"SVA chapter membership"
Veterans United Foundation Scholarship,Veterans United Foundation,"$2,500",April 30,"Veterans pursuing homeownership-related education",All Branches,Undergraduate/Graduate,Merit-based,No,foundation@vu.com,https://www.veteransunitedfoundation.org,"Real estate, finance focus"
American Corporate Partners Veterans Scholarship,ACP,"$2,000",March 31,"Veterans in ACP mentorship program",All Branches,Undergraduate/Graduate,Merit-based,No,info@acp-usa.org,https://www.acp-usa.org,"Mentorship participation required"
Team Red, White & Blue Scholarship,Team RWB,"$1,500",May 15,"Team RWB members",All Branches,Undergraduate/Graduate,Merit-based,No,info@teamrwb.org,https://www.teamrwb.org,"Community involvement focus"
The Mission Continues Fellowship Grant,The Mission Continues,"$3,500",Rolling,"Veterans committed to service",All Branches,Fellowship,Service-based,No,info@missioncontinues.org,https://www.missioncontinues.org,"Service fellowship program"
Hiring Our Heroes Spouse Fellowship,U.S. Chamber of Commerce,"$5,000",Quarterly,"Military spouses seeking career development",All Branches,Professional Development,Need-based,No,hoh@uschamber.com,https://www.hiringourheroes.org,"Spouse employment focus"
Boot Campaign Scholarship,Boot Campaign,"$5,000",April 1,"Veterans and families affected by service",All Branches,Undergraduate/Graduate,Need-based,No,info@bootcampaign.org,https://www.bootcampaign.org,"Holistic wellness support"
Gary Sinise Foundation Scholarship,Gary Sinise Foundation,"$5,000",March 15,"Children of fallen, disabled first responders, service members",All Branches,Undergraduate,Need-based,Yes,scholars@garysinisefoundation.org,https://www.garysinisefoundation.org,"First responders included"
Bob Woodruff Foundation Veterans Scholarship,Bob Woodruff Foundation,"$2,500",May 1,"Post-9/11 veterans",All Branches,Undergraduate/Graduate,Need-based,No,info@bobwoodrufffoundation.org,https://www.bobwoodrufffoundation.org,"TBI/PTSD awareness"
Wounded Warrior Project Scholarship,WWP,"$5,000",March 31,"WWP alumni with service-connected injuries",All Branches,Undergraduate/Graduate/Certification,Need-based,No,scholarships@woundedwarriorproject.org,https://www.woundedwarriorproject.org,"Wounded warrior priority"
Army Emergency Relief Stateside Spouse Education Assistance,AER,"$2,500",March 1,"Spouses of active-duty Army",Army,Undergraduate/Graduate,Need-based,No,aer@aerhq.org,https://www.armyerelief.org,"Spouse education focus"
Air Force Enlisted Village Scholarship,AFEV,"$2,000",April 1,"Surviving spouses, widows of Air Force enlisted",Air Force,Undergraduate,Need-based,No,info@afenlistedwidows.org,https://www.afenlistedwidows.org,"Enlisted Air Force widows"
Navy-Marine Corps Relief Society Gold Star Scholarship,NMCRS,"$5,000",March 1,"Children of deceased Navy, Marine Corps members",Navy/Marine Corps,Undergraduate,Need-based,Yes,goldstar@nmcrs.org,https://www.nmcrs.org,"Gold Star families"
Military Chaplains Association Scholarship,MCA,"$1,500",April 15,"Children of military chaplains, religious support personnel",All Branches,Undergraduate,Merit-based,No,info@mca-usa.org,https://www.mca-usa.org,"Chaplain families"
Navy Wives Clubs of America Scholarship,NWCA,"$1,500",May 31,"Dependents of Navy members",Navy,Undergraduate,Merit-based,No,nwca@navywivesclubsofamerica.org,https://www.navywivesclubsofamerica.org,"Navy family focus"
Army Aviation Association Scholarship,AAAA,"$2,000",May 1,"Army aviation community members, dependents",Army,Undergraduate,Merit-based,No,aaaa@quad-a.org,https://www.quad-a.org,"Aviation focus"
Air Commando Association Scholarship,ACA,"$2,500",March 15,"Special operations airmen and families",Air Force,Undergraduate,Merit-based,No,info@aircommando.org,https://www.aircommando.org,"Air Force special operations"
Military Officers Association of America Loan Program,MOAA,"$4,000",Rolling,"Children of MOAA members",All Branches,Undergraduate,Loan,No,msc@moaa.org,https://www.moaa.org,"Interest-free education loan"
Women in Defense HORIZONS Scholarship,Women In Defense,"$3,000",July 1,"Women pursuing national security careers",All Branches,Undergraduate/Graduate,Merit-based,No,wid@ndia.org,https://www.womenindefense.net,"National security field"
National Association for Black Veterans Scholarship,NABV,"$2,000",March 31,"African American veterans and dependents",All Branches,Undergraduate,Merit-based,No,nabv1@yahoo.com,https://www.nabvets.org,"Minority veteran focus"
American GI Forum Scholarship,AGIF,"$1,500",April 1,"Hispanic veterans and dependents",All Branches,Undergraduate,Merit-based,No,agif@agif.us,https://www.agif.us,"Hispanic veteran community"
Jewish War Veterans National Scholarship,JWV,"$2,500",May 1,"Jewish veterans and descendants",All Branches,Undergraduate,Merit-based,No,jwv@jwv.org,https://www.jwv.org,"Jewish veteran community"
Military.com Scholarship,Military.com,"$2,000",Quarterly,"Active-duty, veterans, dependents",All Branches,Undergraduate/Graduate,Random Drawing,No,scholarships@military.com,https://www.military.com/scholarship,"Quarterly drawing"
AFCEA War Veterans Scholarship,AFCEA,"$2,500",May 1,"Afghanistan, Iraq war veterans in STEM",All Branches,Undergraduate,Merit-based,No,scholarships@afcea.org,https://www.afcea.org,"STEM degrees, war veterans"
ThanksUSA Scholarship,ThanksUSA,"$3,000",May 15,"Children, spouses of active-duty, veterans",All Branches,Undergraduate/Graduate,Need-based,No,scholarships@thanksusa.org,https://www.thanksusa.org,"Broad eligibility"
SkillBridge Scholarship Program,Various Employers,"Varies",Rolling,"Transitioning service members in SkillBridge",All Branches,Certification/Training,Employer-based,No,contact varies,https://www.dodskillbridge.com,"Employment training"
Logistics Officers Association Scholarship,LOA,"$1,500",April 1,"Logistics field veterans, dependents",All Branches,Undergraduate,Merit-based,No,loa.national@gmail.com,https://www.logisticsofficers.org,"Logistics focus"
Daedalian Foundation Scholarship,Daedalians,"$7,500",January 31,"Pursuing military pilot training",All Branches,Undergraduate,Merit-based,No,scholarship@daedalians.org,https://www.daedalians.org,"Future military pilots"
Wings Over America Scholarship,Wings Over America,"$3,000",March 1,"Naval aviation community dependents",Navy,Undergraduate,Merit-based,No,scholarship@wingsoveramerica.us,https://www.wingsoveramerica.us,"Naval aviation focus"
Military Order of the Stars and Bars Scholarship,MOSB,"$1,500",March 1,"Descendants of Confederate officers (historical society)",All Branches,Undergraduate,Merit-based,No,mosb@militaryorderofthestarsandbars.org,https://www.militaryorderofthestarsandbars.org,"Historical lineage"
Anchor Scholarship Foundation,Anchor Scholarship Foundation,"$2,000",March 15,"Children of Navy surface warfare officers",Navy,Undergraduate,Merit-based,No,admin@anchorscholarship.com,https://www.anchorscholarship.com,"Surface warfare officer children"
Naval Special Warfare Foundation Scholarship,NSWF,"$5,000",March 31,"NSW community members and families",Navy,Undergraduate,Merit-based,No,info@nswfoundation.org,https://www.nswfoundation.org,"SEAL/SWCC community"
Army Ranger Lead The Way Fund Scholarship,LTWF,"$5,000",March 1,"Rangers and families",Army,Undergraduate,Need-based,Yes,info@leadthewayfund.org,https://www.leadthewayfund.org,"75th Ranger Regiment"
Green Beret Foundation Scholarship,GBF,"$5,000",April 1,"Special Forces and families",Army,Undergraduate/Graduate,Need-based,No,info@greenberetfoundation.org,https://www.greenberetfoundation.org,"Army Special Forces"
Air Force Village Charitable Foundation,AFVCF,"$1,000",May 1,"Surviving spouses of Air Force members",Air Force,Undergraduate,Need-based,No,foundation@afv.us,https://www.afvillages.com,"Air Force widows/widowers"
Fleet Reserve Association Women's Scholarship,FRA Auxiliary,"$2,500",April 15,"Women in sea services and dependents",Navy/Marine Corps/Coast Guard,Undergraduate,Merit-based,No,scholars@fra.org,https://www.fra.org,"Women in sea services"
National Defense Industrial Association Scholarship,NDIA,"$3,000",March 1,"NDIA members and children pursuing defense careers",All Branches,Undergraduate/Graduate,Merit-based,No,info@ndia.org,https://www.ndia.org,"Defense industry focus"
Vietnam Veterans of America Scholarship,VVA,"$4,000",May 31,"Vietnam veterans and descendants",All Branches,Undergraduate,Merit-based,No,vva@vva.org,https://www.vva.org,"Vietnam era focus"
Korean War Veterans Association Scholarship,KWVA,"$2,500",March 15,"Korean War veterans and descendants",All Branches,Undergraduate,Merit-based,No,kwva@kwva.us,https://www.kwva.us,"Korean War era"
Pearl Harbor Survivors Association Scholarship,PHSA,"$2,000",February 1,"Descendants of Pearl Harbor survivors",All Branches,Undergraduate,Merit-based,No,phsa@pearlharborsurvivor.org,https://www.pearlharbor.org,"World War II focus"
Battleship New Jersey Scholarship,Battleship New Jersey,"$1,500",April 1,"New Jersey residents with military connection",All Branches,Undergraduate,Merit-based,No,education@battleshipnewjersey.org,https://www.battleshipnewjersey.org,"New Jersey residents"
USS Midway Foundation Scholarship,USS Midway Museum,"$2,000",March 31,"San Diego County students with military connection",All Branches,Undergraduate,Merit-based,No,education@midway.org,https://www.midway.org,"San Diego area"
Intrepid Sea, Air & Space Museum Scholarship,Intrepid Museum,"$2,500",April 15,"NYC area students with military connection",All Branches,Undergraduate,Merit-based,No,education@intrepidmuseum.org,https://www.intrepidmuseum.org,"New York area"
National WWII Museum Student Scholarship,WWII Museum,"$2,000",March 1,"Students researching WWII topics",All Branches,Undergraduate/Graduate,Research-based,No,education@nationalww2museum.org,https://www.nationalww2museum.org,"History research focus"
Disabled American Veterans Auxiliary Scholarship,DAV Auxiliary,"$2,000",March 15,"DAV members and families",All Branches,Undergraduate,Merit-based,No,davaux@dav.org,https://www.dav.org/auxiliary,"DAV membership required"
Military Order of the Cootie Scholarship,MOC,"$1,500",April 1,"VFW Cootie members and families",All Branches,Undergraduate,Merit-based,No,moc@vfw.org,https://www.lotcs.org,"VFW auxiliary"
Ladies Auxiliary VFW Scholarship,VFW Auxiliary,"$2,500",March 31,"VFW and Auxiliary members, dependents",All Branches,Undergraduate,Merit-based,No,info@vfwauxiliary.org,https://www.vfwauxiliary.org,"VFW membership helpful"
SAR Veterans Award,Sons of the American Revolution,"$2,000",February 15,"Veterans pursuing further education",All Branches,Undergraduate/Graduate,Merit-based,No,sar@sar.org,https://www.sar.org,"Patriotic focus"
Navy Federal Credit Union Scholarship,Navy Federal,"$2,500",February 15,"Navy Federal members and families",All Branches,Undergraduate,Merit-based,No,scholarship@navyfederal.org,https://www.navyfederal.org,"Membership required"
USAA Scholarship,USAA,"$5,000",February 28,"Children of USAA members",All Branches,Undergraduate,Merit-based,No,scholarships@usaa.com,https://www.usaa.com/scholarships,"USAA membership required"
Gen. Henry Shelton Leadership Scholarship,Special Operations Association,"$2,500",May 1,"Special operations veterans, descendants",All Branches,Undergraduate,Merit-based,No,info@specialoperations.org,https://www.specialoperations.org,"SOF community"
Air Force Association Scholarship,AFA,"$5,000",April 30,"AFA members, dependents",Air Force,Undergraduate,Merit-based,No,scholars@afa.org,https://www.afa.org,"Air Force focus"
Naval Sea Cadet Corps Scholarship,Navy League,"$2,000",May 1,"Sea Cadet program members",All Branches,Undergraduate,Merit-based,No,seacadets@seacadets.org,https://www.seacadets.org,"Youth program participants"
Young Marines Scholarship,Young Marines,"$1,500",April 1,"Young Marines program members",All Branches,Undergraduate,Merit-based,No,info@youngmarines.com,https://www.youngmarines.com,"Youth program participants"
Civil Air Patrol Cadet Scholarship,Civil Air Patrol,"$7,500",February 1,"CAP cadets pursuing aviation",Air Force,Undergraduate,Merit-based,No,cpr@capnhq.gov,https://www.gocivilairpatrol.com,"CAP membership required"
U.S. Naval Institute Scholarship,USNI,"$3,000",March 1,"Naval service members and families",Navy/Marine Corps/Coast Guard,Undergraduate/Graduate,Merit-based,No,scholarships@usni.org,https://www.usni.org,"Sea services focus"
Naval Enlisted Reserve Association Scholarship,NERA,"$2,000",June 30,"Navy Reserve members and families",Navy,Undergraduate,Merit-based,No,members@nera.org,https://www.nera.org,"Navy Reserve focus"
Marine Corps Reserve Association Scholarship,MCRA,"$1,500",July 1,"Marine Reserve members and families",Marine Corps,Undergraduate,Merit-based,No,mcrainc@aol.com,https://www.usmcra.org,"Marine Reserve focus"
Air Force Reserve Officers Association Scholarship,AFROA,"$2,000",May 1,"Air Force Reserve members, families",Air Force,Undergraduate,Merit-based,No,afroa@afroa.org,https://www.afroa.org,"Air Force Reserve focus"
National Guard Association of Texas Scholarship,NGAT,"$1,500",March 1,"Texas National Guard members, families",National Guard,Undergraduate,Merit-based,No,info@ngat.org,https://www.ngat.org,"Texas Guard members"
California National Guard Foundation Scholarship,CNGF,"$2,000",April 1,"California Guard members and families",National Guard,Undergraduate,Merit-based,No,info@cngfdn.org,https://www.cngfdn.org,"California Guard focus"
New York State Division of Veterans Services Scholarship,NYS DVS,"$1,000",May 1,"New York veterans and dependents",All Branches,Undergraduate,Merit-based,No,dvsinfo@veterans.ny.gov,https://www.veterans.ny.gov,"New York residents"
Texas Veterans Commission Scholarship,TVC,"$1,200",March 31,"Texas veterans and dependents",All Branches,Undergraduate,Merit-based,No,info@tvc.texas.gov,https://www.tvc.texas.gov,"Texas residents"
Florida Department of Veterans Affairs Scholarship,FDVA,"$1,500",April 15,"Florida veterans and dependents",All Branches,Undergraduate,Merit-based,No,fdva@fdva.state.fl.us,https://www.floridavets.org,"Florida residents"
Virginia Department of Veterans Services Scholarship,VDVS,"$1,000",May 1,"Virginia veterans and dependents",All Branches,Undergraduate,Merit-based,No,vavet@dvs.virginia.gov,https://www.dvs.virginia.gov,"Virginia residents"
Ohio Department of Veterans Services Scholarship,ODVS,"$1,500",March 31,"Ohio veterans and dependents",All Branches,Undergraduate,Merit-based,No,odvs@dvs.ohio.gov,https://www.dvs.ohio.gov,"Ohio residents"
Pennsylvania Department of Military and Veterans Affairs Scholarship,PA DMVA,"$1,200",April 30,"Pennsylvania veterans and dependents",All Branches,Undergraduate,Merit-based,No,ra-dmvaweb@pa.gov,https://www.dmva.pa.gov,"Pennsylvania residents"
North Carolina Division of Veterans Affairs Scholarship,NC DVA,"$1,000",May 15,"North Carolina veterans and dependents",All Branches,Undergraduate,Merit-based,No,ncdva@ncdva.nc.gov,https://www.milvets.nc.gov,"North Carolina residents"
Georgia Department of Veterans Service Scholarship,GDVS,"$1,500",April 1,"Georgia veterans and dependents",All Branches,Undergraduate,Merit-based,No,gdvs@vs.state.ga.us,https://www.vs.state.ga.us,"Georgia residents"
Arizona Department of Veterans Services Scholarship,ADVS,"$1,000",March 31,"Arizona veterans and dependents",All Branches,Undergraduate,Merit-based,No,azdvs@azdvs.gov,https://www.azdvs.gov,"Arizona residents"
Michigan Veterans Affairs Agency Scholarship,MVAA,"$1,200",May 1,"Michigan veterans and dependents",All Branches,Undergraduate,Merit-based,No,mvaa@michigan.gov,https://www.michigan.gov/mvaa,"Michigan residents"
Washington Department of Veterans Affairs Scholarship,WDVA,"$1,500",April 15,"Washington veterans and dependents",All Branches,Undergraduate,Merit-based,No,wdva@dva.wa.gov,https://www.dva.wa.gov,"Washington residents"
Colorado Division of Veterans Affairs Scholarship,CDVA,"$1,000",March 31,"Colorado veterans and dependents",All Branches,Undergraduate,Merit-based,No,cdva@dmva.state.co.us,https://www.colorado.gov/dmva,"Colorado residents"
