Name,Platform,Handle/Channel,Follower Count,Engagement Rate,Content Focus,Contact Info,Recent Sponsored Posts,Suggested Collaboration Approach
DaddyHop01,TikTok,@daddyhop01,543.5K,High,GenX Dad and Navy Veteran,DM via TikTok,Unknown,Family-focused veteran content - appeals to older demographic
The Craig Miles,TikTok,@thecraigmiles,535.2K,High,Military content,DM via TikTok,Unknown,General military audience partnership
Sam Eckholm,TikTok,@sameckholm,813.8K,High,Aerospace & Defense content,DM via TikTok,Unknown,Career-focused partnership for defense industry transitions
MandatoryFunDay,TikTok,@mandatoryfunday,High following,Very high,Military humor & comedy sketches,DM via TikTok,Unknown,Humorous content collaboration - increases shareability
Ashley Gutermuth,TikTok,@ashleygutermuth,High following,Very high,Military spouse humor,DM via TikTok,Likely has sponsors,Spouse perspective partnership - broader military family appeal
Zachary Bell,Instagram,@veteranwithasign,262K,Medium-High,Veterans' stories & After Action Podcast,DM or podcast email,Unknown,Podcast sponsorship + Instagram campaign - dual platform reach
The Millennial Veteran,Instagram,@themillennialveteran,37.3K,Medium,Helping young veterans find their way & transition guidance,DM via Instagram,Unknown,Perfect audience match - young veterans needing transition help
Noah Galloway,Instagram,@noahgallowayathlete,183.1K,High,Combat veteran keynote speaker - motivational content,Speaking agency contact,Likely has sponsors,Keynote partnership + social promotion
Jeremy Potvin,Instagram,@jeremypotvin_,1.2M,High,"US Army veteran, IFBB Pro bodybuilder, fitness",Business email in bio,Fitness brand partnerships,Wellness/fitness angle for veteran health during transition
David Goggins,Instagram,@davidgoggins,High following,Very high,Retired Navy SEAL - motivation & mental toughness,Book publisher contact,Multiple major sponsors,High-tier partnership (expensive) - massive brand awareness
Deshauna Barber,Instagram,@deshaunabarber,259K,Medium-High,Former Miss USA & veteran - female empowerment,Speaking/talent agency,Beauty & empowerment brands,Female veteran empowerment angle - diversity in outreach
Nardia,Instagram,@nardia,Medium following,Medium,Combat Army veteran - fitness & wellness,DM via Instagram,Unknown,Wellness partnership for post-military health focus
Rye.Roast,Instagram,@rye.roast,111.8K,High,USAF Medic - lifestyle & mental health,DM via Instagram,Unknown,Mental health partnership - critical transition topic
War Hamster,Instagram,@war_hamster6,372.7K,High,All American Medic & War Podcast host,Podcast email,Unknown,Podcast + Instagram dual campaign
Charissa Littlejohn,Instagram,@charissa_littlejohn,333.5K,High,"Veteran-Medic, mom life, prepping",DM via Instagram,Likely outdoor/prep brands,Family + preparedness angle - practical life skills
Ash.e.e,Instagram,@ash.e.e,819.4K,Very high,Military lifestyle (female),DM via Instagram,Likely has sponsors,Large-scale awareness campaign - female demographic
Haylujan,Instagram,@haylujan,535.1K,High,Army Psyop fitness,DM via Instagram,Fitness brands likely,Fitness & mental conditioning partnership
Lojo Fishing,Instagram/YouTube,@lojo.fishing,192.3K IG / 800K+ YT,High,Army OEF veteran - fishing & hunting content,Business contact in bio,Outdoor brands,Outdoor recreation angle - post-service lifestyle balance
Amber Combat Survivalist,Instagram,@amber_combat_survivalist,118.8K,High,US Army veteran - Naked & Afraid - survival skills,Business contact likely,Discovery Channel & outdoor brands,Adventure/survival skills partnership - resilience theme
Casey M Smith,Instagram,@casey_msmith,30.7K,Medium,Retired Army 19th SF - Hunts For The Brave advocate,DM via Instagram,Unknown,Outdoor advocacy partnership - serves veteran community
Step One Survival,Instagram,@steponesurvival,167.2K,High,"USMC Combat veteran, father, preparedness consultant",Business contact in bio,Survival/outdoor brands likely,Preparedness & family security partnership
NV Fitness JQ,Instagram,@nvfitnessjq,5K,Low-Medium,"Navy veteran (1988-1992), ISSA certified, fitness over 50",DM via Instagram,None visible,Senior veteran fitness partnership - older demographic focus
Rachel Earls,Instagram,@rachelearls,199.5K,High,Modern Southern Housewife Military Spouse,DM via Instagram,Lifestyle brands,Military spouse perspective - family transition support
Bree Reading,Instagram/TikTok,@breereading,Medium following,Medium,Military wife and mom - personal military spouse experiences,DM via platforms,Unknown,Authentic spouse perspective - relatable family content
Jillian Morrison,Instagram,@jillianmorrison,135K+,High,Marine military spouse - relationship content,DM via Instagram,Unknown,Military relationship dynamics - mental health during transition
Ali,Instagram/TikTok,@ali,65.5K IG / 740K+ TikTok,High,Military life abroad,DM via platforms,Unknown,International military life perspective - unique angle
Caitlin Lewis,Instagram,@thekindredginger,Medium following,Medium,Military spouse at Camp Lejeune - family topics,DM via Instagram,Unknown,East Coast military family perspective
Wonderfully Aly,Instagram,@wonderfully_aly,41K,Medium,RCAF veteran spouse - motherhood & lifestyle,DM via Instagram,Unknown,Canadian perspective + motherhood - international reach
Jamie Ericksen,Instagram,@jamieericksen,29.2K,Medium,Air Force family member,DM via Instagram,Unknown,Air Force family focus
The Short Wife,Instagram,@theshortwife,15K,Medium,Military wife + mom + mental health,DM via Instagram,Unknown,Mental health for families - critical support topic
Jessica Makin,LinkedIn,Jessica Makin profile,N/A,Professional network,Navy veteran - program management & career transition specialist,LinkedIn message,N/A,B2B partnership for professional transition resources
Florent Groberg,LinkedIn,Florent Groberg profile,N/A,Professional network,Medal of Honor recipient - LinkedIn Veterans spokesperson,LinkedIn/official contact,N/A,High-profile endorsement opportunity
Jacey Eckhart,LinkedIn,Jacey Eckhart profile,N/A,Professional network,Veteran employment programming - helped 26K+ find jobs,LinkedIn message,N/A,Employment partnership - job placement resources
Kate Speer,Instagram/TikTok,@katespeer,45K IG / 11K+ TikTok,Medium,PTSD & ADHD advocate - mental health normalization,DM via platforms,Mental health brands possible,Mental health advocacy partnership - reduces stigma
Lucy Cerezo,Instagram,@lucycerezo_,143K,High,"Mental health healing - Depression, Anxiety, ADHD, PTSD, Bipolar",DM via Instagram,Mental health advocacy,Mental wellness partnership - comprehensive mental health focus
