installation_name,branch,state,city,office_name,building_location,phone,email,website,walk_in_hours,appointment_scheduling,services_offered,skillbridge_available,notes
Naval Base Kitsap,Navy,Washington,Silverdale,Fleet and Family Support Center,Building 132 Dakota Avenue,(360) 396-4115,nbk.ffsc@navy.mil,https://navykitsap.navylifepnw.com,Mon-Fri 7:30-4:00,Email or phone,TGPS; Career services; Education; SkillBridge; Submarine community support,Yes,Pacific Northwest Navy base
Naval Station Great Lakes,Navy,Illinois,Great Lakes,Fleet and Family Support Center,Building 40 Ross Road,(847) 688-3603,nsgl.ffsc@navy.mil,https://greatlakes.navylifecl.com,Mon-Fri 7:30-4:00,Walk-in or call,Transition GPS; Career counseling; Education; Training command support,Yes,Navy boot camp location
Naval Air Station Pensacola,Navy,Florida,Pensacola,Fleet and Family Support Center,Building 626 Hughes Avenue,(850) 452-6800,naspensacola.ffsc@navy.mil,https://pensacola.navylifesw.com,Mon-Fri 7:30-4:00,Phone appointment,TGPS workshops; Career services; SkillBridge; Aviation training support,Yes,Naval aviation training center
Naval Station Pearl Harbor,Navy,Hawaii,Pearl Harbor,Fleet and Family Support Center,Building 1740 Merry Point Road,(808) 473-2224,ffsc.nspearl@navy.mil,https://hawaii.navylifepw.com,Mon-Fri 7:30-4:00,Call ahead,Transition GPS; Career counseling; Education; SkillBridge; Pacific Fleet support,Yes,Major Pacific Fleet headquarters
Naval Base Coronado,Navy,California,Coronado,Fleet and Family Support Center,Building 339 First Street,(619) 437-3714,nbc.ffsc@navy.mil,https://coronado.navylifesw.com,Mon-Fri 7:30-4:00,Walk-in or email,TGPS; Career services; SkillBridge; SEAL community support; Amphibious,Yes,Naval Special Warfare center
Naval Station Mayport,Navy,Florida,Mayport,Fleet and Family Support Center,Building 1 Box 280032,(904) 270-5228,mayport.ffsc@navy.mil,https://mayport.navylifesw.com,Mon-Fri 7:30-4:00,Phone or walk-in,Transition GPS; Career counseling; Education; SkillBridge; Atlantic Fleet,Yes,Northeast Florida naval station
Naval Air Station Oceana,Navy,Virginia,Virginia Beach,Fleet and Family Support Center,Building 387 Chambers Field Road,(757) 433-2912,oceana.ffsc@navy.mil,https://oceana.navylifemw.com,Mon-Fri 7:30-4:00,Call for appointment,TGPS workshops; Career services; SkillBridge; Fighter aviation community,Yes,Master Jet Base
Joint Base Andrews,Air Force,Maryland,Joint Base Andrews,Airman and Family Readiness Center,Building 1735 West Perimeter Road,(202) 284-4473,11fss.mfrc.taporg@us.af.mil,https://andrewsfss.com,Mon-Fri 7:30-4:30,Online or phone,TAP workshops; Career counseling; Resume; Education; SkillBridge; Multi-service,Yes,Presidential airlift support
Hill Air Force Base,Air Force,Utah,Hill AFB,Military and Family Readiness Center,Building 150 5837 D Avenue,(801) 777-4681,75fss.fsf.tap@us.af.mil,https://hillfss.com,Mon-Tue 7:30-4:30 Wed 7:30-1:30 Thu-Fri 7:30-4:30,Walk-in or call,TAP classes; Career services; Education; SkillBridge; Logistics support,Yes,Major logistics hub
MacDill Air Force Base,Air Force,Florida,Tampa,Airman and Family Readiness Center,Building 500 Bay Street,(813) 828-4908,6fss.fsh.tap@us.af.mil,https://macdillfss.com,Mon-Fri 7:30-4:30,Email preferred,TAP workshops; Career counseling; Resume; SkillBridge; SOCOM CENTCOM support,Yes,Special Operations Command location
Nellis Air Force Base,Air Force,Nevada,Las Vegas,Airman and Family Readiness Center,Building 1045 Marion Street,(702) 652-4940,99fss.tap@us.af.mil,https://nellisfss.com,Mon-Fri 7:30-4:30,Call or online,TAP services; Career counseling; Education; SkillBridge; Fighter aviation,Yes,Combat aviation training center
Travis Air Force Base,Air Force,California,Fairfield,Airman and Family Readiness Center,Building 801 Benton Street,(707) 424-8483,60fss.tap@us.af.mil,https://travisfss.com,Mon-Fri 7:30-4:30,Walk-in or phone,TAP workshops; Career services; SkillBridge; Airlift operations support,Yes,Major airlift hub
Joint Base San Antonio-Lackland,Air Force,Texas,San Antonio,Transition Assistance Program,Building 2484 Stanley Road,(210) 221-2705,jbsa.tap@us.af.mil,https://www.jbsa.mil,Mon-Fri 7:30-4:30,Online scheduling,TAP workshops; Career counseling; Education; SkillBridge; Basic training support,Yes,Air Force basic training center
Eglin Air Force Base,Air Force,Florida,Valparaiso,Airman and Family Readiness Center,Building 1960 Lewis Turner Boulevard,(850) 882-9060,96fss.tap@us.af.mil,https://eglinfss.com,Mon-Fri 7:30-4:30,Email or call,TAP services; Career counseling; SkillBridge; Test and evaluation support,Yes,Air Force testing center
Luke Air Force Base,Air Force,Arizona,Glendale,Airman and Family Readiness Center,Building 1150 North Litchfield Road,(623) 856-6550,56fss.tap@us.af.mil,https://lukefss.com,Mon-Fri 7:30-4:30,Phone appointment,TAP workshops; Career services; Education; SkillBridge; Fighter training,Yes,F-35 and F-16 training
Schriever Space Force Base,Air Force,Colorado,Colorado Springs,Transition and Employment Office,Building 300 Ent Drive,(719) 567-3920,50fss.transition@us.af.mil,https://50fss.com,Mon-Fri 7:30-4:30,Call to enroll,TAP classes; Career counseling; Space operations support; SkillBridge,Yes,Space Force installation
Scott Air Force Base,Air Force,Illinois,Scott AFB,Military and Family Readiness Center,Building 1760 Vandenberg Drive,(618) 256-7400,375fss.tap@us.af.mil,https://scottfss.com,Tue-Thu 8:00-11:00,Appointment required,TAP workshops; Career services; Education; SkillBridge; Mobility support,Yes,Air Mobility Command headquarters
Spangdahlem Air Base,Air Force,Germany,Spangdahlem,Transition Assistance Program,Building 126,(011) 49-6565-61-5530,52fss.fsh.center@us.af.mil,https://52fss.com,Mon-Fri 8:00-4:00,Email preferred,TAP services; Career counseling; OCONUS support; SkillBridge; Germany,Yes,Major European air base
Ramstein Air Base,Air Force,Germany,Ramstein,Airman and Family Readiness Center,Building 2113,(011) 49-6371-47-6671,86fss.tap@us.af.mil,https://86fss.com,Mon-Fri 7:30-4:00,Call or email,TAP workshops; Career services; Europe transition support; SkillBridge,Yes,Largest USAF base in Europe
Yokota Air Base,Air Force,Japan,Yokota,Airman and Family Readiness Center,Building 375,(011) 81-42-552-2511,374fss.tap@us.af.mil,https://yokotafss.com,Mon-Fri 8:00-5:00,Phone appointment,TAP services; Career counseling; Pacific region support; SkillBridge,Yes,Major Pacific air base
Osan Air Base,Air Force,South Korea,Osan,Airman and Family Readiness Center,Building 778,(011) 82-31-661-5439,51fss.tap@us.af.mil,https://osanfss.com,Mon-Fri 7:30-4:30,Email or call,TAP workshops; Korea transition; Career services; SkillBridge,Yes,Major Korean peninsula base
Fort Irwin,Army,California,Barstow,Soldier for Life TAP,Building 328,(760) 380-4508,usarmy.irwin.imcom.mbx.tap@army.mil,https://home.army.mil/irwin,Mon-Fri 8:00-4:00,Phone or walk-in,TAP services; Career counseling; NTC support; SkillBridge,Yes,National Training Center
Fort Leavenworth,Army,Kansas,Leavenworth,Transition Assistance Program,Building 140 Pope Avenue,(913) 684-2425,usarmy.leavenworth.imcom.mbx.tap@army.mil,https://home.army.mil/leavenworth,Mon-Fri 8:00-4:30,Call ahead,TAP workshops; Career services; Senior leader support; SkillBridge,Yes,Command and General Staff College
Fort Lee,Army,Virginia,Fort Lee,Soldier for Life TAP,Building 2301 Adams Avenue,(804) 765-2591,usarmy.lee.imcom.mbx.tap@army.mil,https://home.army.mil/lee,Mon-Fri 8:00-4:00,Walk-in or phone,TAP services; Career counseling; Logistics training support; SkillBridge,Yes,Army Logistics University
Fort Belvoir,Army,Virginia,Fort Belvoir,Transition Assistance Program,Building 210 Russell Road,(703) 805-9247,usarmy.belvoir.usag.mbx.tap@army.mil,https://home.army.mil/belvoir,Mon-Fri 8:00-4:30,Call or email,TAP workshops; Career services; DC area support; SkillBridge; Security clearances,Yes,National Capital Region
Fort Huachuca,Army,Arizona,Sierra Vista,Soldier for Life TAP,Building 22700 Burt Street,(520) 533-2732,usarmy.huachuca.imcom.mbx.tap@army.mil,https://home.army.mil/huachuca,Mon-Fri 7:30-4:30,Phone appointment,TAP services; Career counseling; Intelligence training; SkillBridge; Cyber,Yes,Army Intelligence Center
Fort Jackson,Army,South Carolina,Columbia,Transition Assistance Program,Building 3702 Jackson Boulevard,(803) 751-7045,usarmy.jackson.imcom.mbx.tap@army.mil,https://home.army.mil/jackson,Mon-Fri 8:00-4:00,Walk-in or call,TAP workshops; Career services; Basic training support; SkillBridge,Yes,Largest Army training center
Fort Gordon,Army,Georgia,Augusta,Soldier for Life TAP,Building 33301 1st Avenue,(706) 791-2728,usarmy.gordon.imcom.mbx.tap@army.mil,https://home.army.mil/gordon,Mon-Fri 7:30-4:30,Email preferred,TAP services; Career counseling; Signal/Cyber training; SkillBridge,Yes,Army Cyber Center of Excellence
Fort Rucker,Army,Alabama,Daleville,Transition Assistance Program,Building 5901 Andrews Avenue,(334) 255-1934,usarmy.rucker.imcom.mbx.tap@army.mil,https://home.army.mil/rucker,Mon-Fri 8:00-4:00,Call ahead,TAP workshops; Career services; Aviation training; SkillBridge,Yes,Army Aviation Center
Fort Leonard Wood,Army,Missouri,Fort Leonard Wood,Soldier for Life TAP,Building 470 Replacement Avenue,(573) 596-0552,usarmy.leonardwood.imcom.mbx.tap@army.mil,https://home.army.mil/wood,Mon-Fri 7:30-4:30,Phone or email,TAP services; Career counseling; Engineer/MP training; SkillBridge,Yes,Army Engineer and MP School
Fort Wainwright,Army,Alaska,Fairbanks,Transition Assistance Program,Building 3450 Neely Road,(907) 353-7474,usarmy.wainwright.imcom.mbx.tap@army.mil,https://home.army.mil/wainwright,Mon-Fri 8:00-4:30,Call or walk-in,TAP workshops; Career services; Alaska support; SkillBridge; Cold weather,Yes,Alaska Army installation
Fort Richardson,Army,Alaska,Joint Base Elmendorf-Richardson,Soldier for Life TAP,Building 600 Richardson Drive,(907) 384-3500,usarmy.jber.imcom.mbx.tap@army.mil,https://home.army.mil/alaska,Mon-Fri 8:00-4:30,Email or phone,TAP services; Career counseling; Arctic operations; SkillBridge,Yes,Joint Army-Air Force Alaska base
Fort Shafter,Army,Hawaii,Honolulu,Transition Assistance Program,Building 580 Macomb Boulevard,(808) 438-1600,usarmy.shafter.imcom.mbx.tap@army.mil,https://home.army.mil/shafter,Mon-Fri 7:30-4:00,Call ahead,TAP workshops; Career services; Pacific command support; SkillBridge,Yes,Army Pacific headquarters
Fort Hamilton,Army,New York,Brooklyn,Soldier for Life TAP,Building 403 General Lee Avenue,(718) 630-4552,usarmy.hamilton.imcom.mbx.tap@army.mil,https://home.army.mil/hamilton,Mon-Fri 8:00-4:00,Phone appointment,TAP services; Career counseling; NYC area; SkillBridge; Urban location,Yes,Only active Army post in NYC
Fort Meade,Army,Maryland,Fort Meade,Transition Assistance Program,Building 4409 Llewellyn Avenue,(443) 876-9646,usarmy.meade.id-readiness.mbx.tap@army.mil,https://home.army.mil/meade,Mon-Fri 7:30-4:30,Walk-in or call,TAP workshops; Career services; NSA support; Cyber; SkillBridge; Intelligence,Yes,NSA and Cyber Command location
Redstone Arsenal,Army,Alabama,Huntsville,Soldier for Life TAP,Building 5350 Martin Road,(256) 842-5566,usarmy.redstone.imcom.mbx.tap@army.mil,https://home.army.mil/redstone,Mon-Fri 8:00-4:00,Email or phone,TAP services; Career counseling; Missile/space; SkillBridge; Tech corridor,Yes,Army Aviation and Missile Command
White Sands Missile Range,Army,New Mexico,White Sands,Transition Assistance Program,Building 1735 Greeley Road,(575) 678-1654,usarmy.wsmr.imcom.mbx.tap@army.mil,https://home.army.mil/wsmr,Mon-Fri 8:00-4:30,Call ahead,TAP workshops; Career services; Test range support; SkillBridge,Yes,Army test and evaluation center
Fort Eustis,Army,Virginia,Newport News,Transition Services,Building 5700 22nd Street,(757) 878-3248,usarmy.eustis.imcom.mbx.tap@army.mil,https://home.army.mil/eustis,Mon-Fri 8:00-4:00,Phone or walk-in,TAP services; Career counseling; Aviation logistics; SkillBridge,Yes,Army Transportation Center
Aberdeen Proving Ground,Army,Maryland,Aberdeen,Soldier for Life TAP,Building 4409 Susquehanna Avenue,(410) 306-1695,usarmy.apg.imcom.mbx.tap@army.mil,https://home.army.mil/apg,Mon-Fri 7:30-4:30,Email preferred,TAP workshops; Career services; Materiel testing; SkillBridge; Tech jobs,Yes,Army Test and Evaluation Command
Fort Detrick,Army,Maryland,Frederick,Transition Assistance Program,Building 810 Schreider Street,(301) 619-2255,usarmy.detrick.imcom.mbx.tap@army.mil,https://home.army.mil/detrick,Mon-Fri 8:00-4:00,Call or email,TAP services; Career counseling; Medical research; SkillBridge; Biomedical,Yes,Army Medical Research location
Picatinny Arsenal,Army,New Jersey,Picatinny,Soldier for Life TAP,Building 3021 Farley Avenue,(973) 724-2102,usarmy.pica.imcom.mbx.tap@army.mil,https://home.army.mil/picatinny,Mon-Fri 8:00-4:30,Phone appointment,TAP workshops; Career services; Armament research; SkillBridge; Engineering,Yes,Army Armament Center
Rock Island Arsenal,Army,Illinois,Rock Island,Transition Assistance Program,Building 350 Rock Island Arsenal,(309) 782-0735,usarmy.ria.imcom.mbx.tap@army.mil,https://home.army.mil/ria,Mon-Fri 8:00-4:00,Walk-in or call,TAP services; Career counseling; Manufacturing; SkillBridge; Logistics,Yes,Army manufacturing facility
Fort Gregg-Adams,Army,Virginia,Fort Gregg-Adams,TAP Center,Building 2301 Adams Avenue,(804) 765-2592,usarmy.lee.imcom.mbx.tap@army.mil,https://home.army.mil/gregg-adams,Mon-Fri 8:00-4:00,Email or phone,TAP workshops; Career services; Quartermaster; SkillBridge,Yes,Formerly Fort Lee
Carlisle Barracks,Army,Pennsylvania,Carlisle,Transition Services,Building 632 Wright Avenue,(717) 245-4357,usarmy.carlisle.imcom.mbx.tap@army.mil,https://home.army.mil/carlisle,Mon-Fri 8:00-4:30,Call ahead,TAP services; Career counseling; War College support; SkillBridge; Senior leaders,Yes,Army War College location
Fort McCoy,Army,Wisconsin,Fort McCoy,Soldier for Life TAP,Building 90 2141 South C Street,(608) 388-3716,usarmy.mccoy.imcom.mbx.tap@army.mil,https://home.army.mil/mccoy,Mon-Fri 7:30-4:30,Phone or email,TAP workshops; Career services; Reserve training; SkillBridge,Yes,Major training mobilization center
Joint Base Langley-Eustis,Joint,Virginia,Hampton,Transition Assistance Program,Building 217 Nealy Avenue,(757) 764-5645,jble.tap@us.af.mil,https://jblefss.com,Mon-Fri 7:30-4:30,Online or call,TAP services; Career counseling; Multi-service; SkillBridge; ACC headquarters,Yes,Air Force Air Combat Command HQ
Hanscom Air Force Base,Air Force,Massachusetts,Bedford,Airman and Family Readiness Center,Building 1305 Vandenberg Road,(781) 225-5925,66fss.tap@us.af.mil,https://hanscomfss.com,Mon-Fri 7:30-4:30,Email preferred,TAP workshops; Career services; C3I systems; SkillBridge; Technology,Yes,Electronic Systems Center
Beale Air Force Base,Air Force,California,Beale AFB,Military and Family Readiness Center,Building 2025 Club Drive,(530) 634-2522,9fss.tap@us.af.mil,https://bealefss.com,Mon-Fri 7:30-4:30,Call or walk-in,TAP services; Career counseling; Reconnaissance; SkillBridge; U-2 operations,Yes,U-2 and Global Hawk base
Holloman Air Force Base,Air Force,New Mexico,Alamogordo,Airman and Family Readiness Center,Building 170 First Street,(575) 572-5942,49fss.tap@us.af.mil,https://hollomanfss.com,Mon-Fri 7:30-4:30,Phone appointment,TAP workshops; Career services; Test operations; SkillBridge; Remote piloted,Yes,RPV training center
Offutt Air Force Base,Air Force,Nebraska,Bellevue,Airman and Family Readiness Center,Building 524 SAC Boulevard,(402) 294-6442,55fss.tap@us.af.mil,https://offuttfss.com,Mon-Fri 7:30-4:30,Email or call,TAP services; Career counseling; STRATCOM; SkillBridge; Intelligence,Yes,Strategic Command headquarters
Patrick Space Force Base,Air Force,Florida,Cocoa Beach,Transition Assistance Program,Building 538 Chaplain Boulevard,(321) 494-2947,45fss.tap@us.af.mil,https://patrickfss.com,Mon-Fri 7:30-4:30,Call ahead,TAP workshops; Career services; Space operations; SkillBridge,Yes,Space Force operations
Buckley Space Force Base,Air Force,Colorado,Aurora,Airman and Family Readiness Center,Building 606 Aspen Street,(720) 847-6493,460fss.tap@us.af.mil,https://buckleyfss.com,Mon-Fri 7:30-4:30,Phone or email,TAP services; Career counseling; Space support; SkillBridge; Guard partnership,Yes,Space surveillance operations
Peterson Space Force Base,Air Force,Colorado,Colorado Springs,Military and Family Readiness Center,Building 350 South Peterson Boulevard,(719) 556-6141,21fss.tap@us.af.mil,https://petersonfss.com,Mon-Fri 7:30-4:30,Online scheduling,TAP workshops; Career services; Space Command; SkillBridge; NORAD,Yes,Space Force and NORAD HQ
Vandenberg Space Force Base,Air Force,California,Lompoc,Airman and Family Readiness Center,Building 10677 13th Street,(805) 606-5200,30fss.tap@us.af.mil,https://vandenbergfss.com,Mon-Fri 7:30-4:30,Call or email,TAP services; Career counseling; Space launch; SkillBridge; Missile testing,Yes,Space launch operations
Tinker Air Force Base,Air Force,Oklahoma,Oklahoma City,Airman and Family Readiness Center,Building 460 Post Road,(405) 739-2800,72fss.tap@us.af.mil,https://tinkerfss.com,Mon-Fri 7:30-4:30,Walk-in or phone,TAP workshops; Career services; Depot maintenance; SkillBridge; Engineering,Yes,Major maintenance depot
Los Angeles Air Force Base,Air Force,California,El Segundo,Military and Family Readiness Center,Building 430 Crenshaw Boulevard,(310) 653-1200,61fss.tap@us.af.mil,https://lafss.com,Mon-Fri 7:30-4:00,Email preferred,TAP services; Career counseling; Space systems; SkillBridge; Acquisition,Yes,Space Systems Command
F.E. Warren Air Force Base,Air Force,Wyoming,Cheyenne,Airman and Family Readiness Center,Building 210 Randall Avenue,(307) 773-3068,90fss.tap@us.af.mil,https://warrenfss.com,Mon-Fri 7:30-4:30,Call ahead,TAP workshops; Career services; ICBM operations; SkillBridge,Yes,Intercontinental ballistic missiles
Minot Air Force Base,Air Force,North Dakota,Minot,Military and Family Readiness Center,Building 460 49th Avenue North,(701) 723-3950,5fss.tap@us.af.mil,https://minotfss.com,Mon-Fri 7:30-4:30,Phone or email,TAP services; Career counseling; Nuclear operations; SkillBridge; Bombers,Yes,B-52 and ICBM operations
Grand Forks Air Force Base,Air Force,North Dakota,Grand Forks,Airman and Family Readiness Center,Building 450 Steen Boulevard,(701) 747-5850,319fss.tap@us.af.mil,https://grandforksfss.com,Mon-Fri 7:30-4:30,Walk-in or call,TAP workshops; Career services; RPA operations; SkillBridge,Yes,Remote piloted aircraft training
