company_name,industry,headquarters_state,company_size,veteran_hiring_commitment,military_recruiter_contact,careers_page_url,veteran_specific_url,skillbridge_partner,apprenticeship_programs,security_clearance_jobs,remote_opportunities,top_veteran_roles,application_tips,notes
Boeing,Defense/Aerospace,Illinois,171000,"13500 hired since 2010, 15% workforce",veteranjobs@boeing.com,https://jobs.boeing.com,https://jobs.boeing.com/veterans,Yes,Yes,Yes,No,"Aerospace Engineer, Manufacturing Tech, Program Manager, Quality Inspector, Supply Chain","Technical training valued, A&P license helpful",Future Force partnership program
General Dynamics,Defense,Virginia,106000,Ongoing veteran programs,careers@gd.com,https://www.gd.com/careers,https://gdmissionsystems.com/careers/veterans,Yes,Yes,Yes,Limited,"Systems Engineer, Software Developer, Shipbuilder, Program Manager, Cybersecurity","Clearance required many positions, technical skills valued",Major defense contractor
BAE Systems,Defense,Virginia,85000,Active veteran recruitment,veterans@baesystems.com,https://jobs.baesystems.com,https://www.baesystems.com/en-us/careers/careers-in-the-us/military-skills,Yes,Yes,Yes,No,"Systems Engineer, Electronics Technician, Software Developer, Program Manager","Security clearance advantage, technical background",Defense electronics focus
L3Harris Technologies,Defense,Florida,47000,Strong veteran hiring,veteranrecruiting@l3harris.com,https://careers.l3harris.com,https://www.l3harris.com/careers/veterans,Yes,Yes,Yes,Limited,"RF Engineer, Software Developer, Systems Engineer, Electronics Technician, Cybersecurity","Clearance valued, RF/electronics experience helpful",Defense communications
Leidos,Defense/IT,Virginia,46000,Ongoing veteran recruitment,careers@leidos.com,https://careers.leidos.com,https://careers.leidos.com/veterans,Yes,Yes,Yes,Yes,"Systems Engineer, Cybersecurity Analyst, Software Developer, Intelligence Analyst, IT Support","Active clearance highly valued, IT certifications helpful",Major government IT contractor
SAIC,Defense/IT,Virginia,26000,Strong veteran hiring focus,veteranrecruiting@saic.com,https://jobs.saic.com,https://www.saic.com/careers/veterans,Yes,No,Yes,Yes,"Systems Engineer, IT Specialist, Intelligence Analyst, Cybersecurity, Program Analyst","Maintain security clearance, technical certifications",Government services contractor
Booz Allen Hamilton,Consulting,Virginia,32000,Active veteran programs,veteranrecruiting@bah.com,https://careers.boozallen.com,https://careers.boozallen.com/military,Yes,No,Yes,Yes,"Cybersecurity Consultant, Data Scientist, Systems Engineer, Business Analyst, Program Manager","Top Secret clearance advantage, graduate degrees valued",Management and tech consulting
CACI International,Defense/IT,Virginia,23000,Significant veteran hiring,careers@caci.com,https://careers.caci.com,https://careers.caci.com/veterans,Yes,No,Yes,Yes,"Intelligence Analyst, IT Specialist, Cybersecurity, Systems Engineer, Linguist","Active clearance essential, technical skills",Intelligence and IT support
Home Depot,Retail,Georgia,490000,"470000+ includes tens of thousands vets",veteranrecruiting@homedepot.com,https://careers.homedepot.com,https://careers.homedepot.com/career-areas/military,Yes,Yes,No,Limited,"Store Associate, Department Supervisor, Store Manager, Logistics Coordinator, Pro Sales","Path to Pro program available, construction knowledge valued",Mission Transition program
Lowe's,Retail,North Carolina,325000,"26000+ veterans and spouses, Top 10 #6",militaryrecruiting@lowes.com,https://talent.lowes.com,https://talent.lowes.com/us/en/military-community,Yes,Yes,No,Limited,"Sales Specialist, Department Manager, Store Manager, Distribution Worker, Pro Sales","12-week SkillBridge fellowship, trades experience valued",Military Friendly Gold 2025
Walmart,Retail,Arkansas,2100000,500000+ veterans hired since 2013,militaryprograms@walmart.com,https://careers.walmart.com,https://careers.walmart.com/military,Yes,Yes,No,Limited,"Store Manager, Department Manager, Logistics Manager, E-commerce Associate, Distribution","Skills Translator tool available, leadership experience valued",Find-a-Future program
Target,Retail,Minnesota,450000,Veteran Jobs Mission member,veteranrecruiting@target.com,https://corporate.target.com/careers,https://corporate.target.com/careers/diversity-inclusion/military-veteran,Yes,No,No,Limited,"Store Team Member, Team Leader, Executive Team Leader, Distribution Center, Supply Chain","Military Business Council support, USO partnership",Forbes Best Employers for Veterans
Costco,Retail,Washington,304000,Ongoing veteran hiring,veteranjobs@costco.com,https://www.costco.com/jobs.html,https://www.costco.com/jobs-military.html,No,No,No,No,"Warehouse Employee, Supervisor, Manager, Forklift Operator, Receiving Clerk","Start in warehouse, advancement opportunities, good benefits",Strong promotion from within culture
CVS Health,Healthcare/Retail,Rhode Island,300000,"1000 logistics jobs, 25% target",veteranrecruiting@cvshealth.com,https://jobs.cvshealth.com,https://jobs.cvshealth.com/military-and-veteran-jobs,Yes,Yes,No,Yes,"Pharmacy Technician, Store Manager, Distribution Center, Nurse Practitioner, IT Support","Heroes2Careers program, Talent Connect Center at Fort Bragg",SkillBridge CSP program
Walgreens,Healthcare/Retail,Illinois,225000,HERO program for 5000 veterans,veteranjobs@walgreens.com,https://jobs.walgreens.com,https://jobs.walgreens.com/en/veterans,Yes,Yes,No,Limited,"Pharmacy Technician, Shift Lead, Assistant Store Manager, Distribution, Customer Service","HERO program for management track, VALOR network",HERO leadership program
UPS,Logistics,Georgia,500000,"19000+ veterans, one of largest employers",veteranrecruiting@ups.com,https://www.jobs-ups.com,https://www.jobs-ups.com/us/en/veterans,Yes,Yes,No,Limited,"Package Handler, Driver, Supervisor, Industrial Engineer, Operations Manager","9-week management training program for vets, strong benefits",Veterans management program
FedEx,Logistics,Tennessee,547000,Strong veteran commitment,veterancareers@fedex.com,https://careers.fedex.com,https://careers.fedex.com/military,Yes,Yes,No,Limited,"Package Handler, Delivery Driver, Operations Manager, Aircraft Mechanic, Logistics Coordinator","SkillBridge program, ACP partnership, Military Friendly",Military Times Best For Vets
BNSF Railway,Transportation,Texas,35000,Ongoing veteran programs,veteranrecruiting@bnsf.com,https://www.bnsf.com/careers,https://www.bnsf.com/careers/military-veterans,Yes,Yes,No,No,"Conductor, Locomotive Engineer, Signal Maintainer, Track Laborer, Management Trainee","Veteran apprenticeship program, railroad experience not required",Class I railroad
Union Pacific Railroad,Transportation,Nebraska,30000,Active veteran hiring,veteranjobs@up.com,https://www.up.com/careers,https://www.up.com/careers/veterans,Yes,Yes,No,No,"Train Crew, Maintenance Worker, Mechanical Worker, Signal Technician, Manager","Paid training programs, good benefits, outdoors work",Major freight railroad
Norfolk Southern,Transportation,Georgia,19000,Veteran recruitment focus,veterancareers@nscorp.com,https://www.nscorp.com/careers,https://www.nscorp.com/careers/veterans,Yes,No,No,No,"Conductor, Engineer, Track Worker, Mechanical, Signal Maintainer",Railroad training provided; outdoor work environment,Eastern U.S. railroad
CSX Transportation,Transportation,Florida,20000,Ongoing veteran programs,veteranrecruiting@csx.com,https://www.csx.com/careers,https://www.csx.com/index.cfm/customers/career-opportunities/veterans,Yes,No,No,No,"Train Crew, Track Maintenance, Mechanical, Signal, Management",Training provided; no railroad experience needed,Eastern railroad network
AT&T,Telecommunications,Texas,160000,"20000 target by 2020, 15000+ hired",militarycareers@att.com,https://www.att.jobs,https://www.att.jobs/military,Yes,Yes,No,Yes,"Network Technician, Retail Sales, Customer Service, Network Engineer, Installation Tech","TAP workshops, Udacity scholarships, weekly job advisor sessions",Partnership with Udacity
Verizon,Telecommunications,New York,105000,"10000+ employed, #2 Military Friendly 2024",veteranrecruiting@verizon.com,https://mycareer.verizon.com,https://mycareer.verizon.com/life-at-verizon/military,Yes,Yes,No,Yes,"Network Technician, Retail Sales, Cell Tech, Customer Service, Network Engineer","Military Skill Matcher tool, Cell Tech Military Program, dedicated recruiting team",Military Friendly #2 2024
T-Mobile,Telecommunications,Washington,71000,"10000 hired by 2023, goal achieved",veteranjobs@t-mobile.com,https://www.t-mobile.com/careers,https://www.t-mobile.com/careers/military,Yes,No,No,Yes,"Retail Associate, Retail Manager, Network Technician, Customer Service, Tech Support","Hiring Our Heroes partnership, 4+1 commitment signatory",Achieved 10K goal early
Comcast,Telecommunications,Pennsylvania,186000,Ongoing veteran programs,veterancareers@comcast.com,https://jobs.comcast.com,https://jobs.comcast.com/life-at-comcast/veterans,Yes,Yes,No,Yes,"Cable Technician, Customer Service, Network Technician, Sales, IT Support","Technician training programs, veteran employee resource group",Military Friendly employer
Charter Communications/Spectrum,Telecommunications,Connecticut,93000,Active veteran hiring,veteranrecruiting@charter.com,https://jobs.spectrum.com,https://jobs.spectrum.com/veterans,Yes,Yes,No,Limited,"Field Technician, Customer Service, Installation Tech, Sales, Network Operations","Paid training for technicians, advancement opportunities",Cable and internet provider
JPMorgan Chase,Financial Services,New York,293000,"18000+ hired since 2011, VJM founder",militarycareers@jpmchase.com,https://careers.jpmorgan.com,https://careers.jpmorgan.com/us/en/students/programs/military,Yes,Yes,No,Yes,"Financial Analyst, Technology, Operations, Cybersecurity, Branch Manager","Military Pathways Development Program 24-month rotation, strong benefits",Veteran Jobs Mission founder
Bank of America,Financial Services,North Carolina,213000,Veteran Jobs Mission member,veteranrecruiting@bofa.com,https://careers.bankofamerica.com,https://careers.bankofamerica.com/en-us/military,Yes,No,No,Yes,"Financial Advisor, Banker, Technology, Operations, Risk Analyst","Military talent programs, veteran employee network",Major financial institution
Wells Fargo,Financial Services,California,238000,Active veteran recruitment,veterancareers@wellsfargo.com,https://www.wellsfargojobs.com,https://www.wellsfargojobs.com/veterans,Yes,No,No,Yes,"Personal Banker, Financial Advisor, Operations, Technology, Risk Management","Veterans scholarship available, employee resource network",Nationwide banking presence
Citigroup,Financial Services,New York,240000,Ongoing veteran hiring,veteranrecruiting@citi.com,https://www.citi.com/careers,https://jobs.citi.com/military,Yes,No,No,Yes,"Analyst, Technology, Operations, Cybersecurity, Relationship Manager","Global opportunities, strong technology roles",Global financial services
U.S. Bank,Financial Services,Minnesota,70000,Veteran recruitment programs,veteranjobs@usbank.com,https://careers.usbank.com,https://careers.usbank.com/global/en/veterans,Yes,No,No,Yes,"Banker, Branch Manager, Loan Officer, Technology, Operations","Military skills translation support, advancement paths",Fifth largest U.S. bank
USAA,Financial Services,Texas,36000,"Founded by military, serves military",careers@usaa.com,https://www.usaa.com/careers,https://www.usaa.com/careers/military-and-veterans,Yes,No,Yes,Yes,"Insurance Claims, Customer Service, IT, Cybersecurity, Financial Advisor","Founded for military community, deep understanding of military culture",Exclusively serves military community
Navy Federal Credit Union,Financial Services,Virginia,23000,Serves military community,careers@navyfederal.org,https://www.navyfederal.org/careers,https://www.navyfederal.org/about/careers/military-veterans.html,Yes,No,Yes,Yes,"Member Service Rep, Loan Officer, IT Specialist, Cybersecurity, Financial Counselor","Largest credit union, military-focused mission",World's largest credit union
American Express,Financial Services,New York,77000,Veteran hiring initiatives,veteranrecruiting@aexp.com,https://careers.americanexpress.com,https://careers.americanexpress.com/military,Yes,No,No,Yes,"Customer Service, Sales, Technology, Analyst, Operations","Strong benefits, career development programs",Global payment services
Capital One,Financial Services,Virginia,55000,Active veteran recruitment,veterancareers@capitalone.com,https://www.capitalonecareers.com,https://www.capitalonecareers.com/military,Yes,No,No,Yes,"Software Engineer, Data Analyst, Cybersecurity, Branch Manager, Customer Service","Technology-focused bank, strong IT opportunities",Tech-forward banking
PNC Financial,Financial Services,Pennsylvania,60000,Ongoing veteran hiring,veteranjobs@pnc.com,https://careers.pnc.com,https://careers.pnc.com/global/en/veterans-military,Yes,No,No,Yes,"Banker, Financial Advisor, Technology, Operations, Customer Service","Regional presence, community banking focus",Major regional bank
BlackRock,Financial Services,New York,19800,Veteran recruitment programs,veterancareers@blackrock.com,https://careers.blackrock.com,https://careers.blackrock.com/diversity/veterans-initiatives,No,No,No,Yes,"Analyst, Technology, Operations, Risk Management, Portfolio Manager","Investment management focus, finance background valued",World's largest asset manager
State Farm,Insurance,Illinois,55000,Ongoing veteran hiring,veterancareers@statefarm.com,https://www.statefarm.com/careers,https://www.statefarm.com/careers/military,Yes,No,No,Limited,"Claims Adjuster, Customer Service, Insurance Agent, Underwriter, IT Specialist","Agent opportunities available, good training programs",Largest auto insurer
Allstate,Insurance,Illinois,54000,Veteran recruitment focus,veteranjobs@allstate.com,https://www.allstate.com/careers,https://www.allstate.com/about/careers/working-with-us/military-and-veteran-opportunities,Yes,No,No,Yes,"Claims Adjuster, Customer Service, Agent, Underwriter, Technology","Agency ownership opportunities, remote roles available",Major P&C insurer
Progressive,Insurance,Ohio,50000,Active veteran programs,veteranrecruiting@progressive.com,https://www.progressive.com/careers,https://www.progressive.com/careers/diversity-inclusion/military,Yes,No,No,Yes,"Claims Rep, Customer Service, Insurance Agent, Analyst, IT Support","Strong benefits, growth opportunities",Auto insurance focus
Liberty Mutual,Insurance,Massachusetts,45000,Veteran hiring commitment,veterancareers@libertymutual.com,https://jobs.libertymutualgroup.com,https://jobs.libertymutualgroup.com/military,Yes,No,No,Yes,"Claims Adjuster, Underwriter, Customer Service, Sales, Technology","Global opportunities, diverse insurance products",Global insurer
Prudential,Insurance,New Jersey,40000,Ongoing veteran recruitment,veteranjobs@prudential.com,https://jobs.prudential.com,https://jobs.prudential.com/us/en/military,Yes,No,No,Yes,"Financial Advisor, Claims Specialist, Customer Service, Analyst, Technology","Life insurance and financial services focus",Life insurance leader
Johnson & Johnson,Healthcare/Pharma,New Jersey,152000,Active veteran programs,veterancareers@its.jnj.com,https://jobs.jnj.com,https://www.jnj.com/careers/military-veterans,Yes,No,No,Yes,"Medical Sales, Manufacturing, Quality, R&D, Supply Chain","SkillBridge program, diverse healthcare portfolio",Healthcare conglomerate
UnitedHealth Group,Healthcare,Minnesota,440000,Strong veteran hiring,veteranrecruiting@uhg.com,https://careers.unitedhealthgroup.com,https://careers.unitedhealthgroup.com/military,Yes,No,No,Yes,"Nurse, Customer Service, Claims Processor, Analyst, IT Support","Healthcare and insurance roles, large organization",Largest health insurer
HCA Healthcare,Healthcare,Tennessee,309000,Ongoing veteran recruitment,veterancareers@hcahealthcare.com,https://careers.hcahealthcare.com,https://careers.hcahealthcare.com/pages/military,Yes,Yes,No,Limited,"Registered Nurse, Patient Care Tech, Administrator, IT, Facilities","Nursing opportunities abundant, education assistance",Largest hospital operator
Kaiser Permanente,Healthcare,California,305000,Veteran hiring initiatives,veteranjobs@kp.org,https://www.kaiserpermanentejobs.org,https://jobs.kaiserpermanente.org/military,Yes,Yes,No,Limited,"Nurse, Medical Assistant, Physician, IT, Administrator","Integrated healthcare model, strong benefits",Integrated health system
CVS Health,Healthcare,Rhode Island,300000,Heroes2Careers program,veteranrecruiting@cvshealth.com,https://jobs.cvshealth.com,https://www.cvshealth.com/about/our-strategy/diversity/veterans.html,Yes,Yes,No,Yes,"Pharmacist, Pharmacy Tech, Nurse Practitioner, Store Manager, IT","MinuteClinic opportunities, retail and clinical roles",Pharmacy and healthcare
Anthem,Healthcare,Indiana,98000,Active veteran hiring,veterancareers@anthem.com,https://careers.antheminc.com,https://careers.antheminc.com/us/en/military,Yes,No,No,Yes,"Nurse, Customer Service, Claims, IT, Analyst","Health insurance focus, remote opportunities available",Major health insurer
Humana,Healthcare,Kentucky,96000,Veteran recruitment programs,veteranjobs@humana.com,https://careers.humana.com,https://careers.humana.com/military,Yes,No,No,Yes,"Nurse, Customer Service, Claims Specialist, Analyst, Sales","Medicare focus, growing organization",Health and wellness insurer
Pfizer,Pharma,New York,88000,Ongoing veteran hiring,veterancareers@pfizer.com,https://www.pfizer.com/careers,https://www.pfizer.com/about/careers/diversity-and-inclusion/veterans,Yes,No,No,Yes,"Scientist, Manufacturing, Quality, Sales, Supply Chain","Scientific/technical roles, pharmaceutical manufacturing",Major pharmaceutical company
Merck,Pharma,New Jersey,68000,Veteran recruitment focus,veteranjobs@merck.com,https://jobs.merck.com,https://jobs.merck.com/us/en/veterans,Yes,No,No,Yes,"Research Scientist, Manufacturing, Quality Control, Sales, IT","R&D opportunities, scientific background valued",Pharmaceutical and vaccines
AbbVie,Pharma,Illinois,50000,Active veteran programs,veterancareers@abbvie.com,https://careers.abbvie.com,https://careers.abbvie.com/us/en/veterans-military,Yes,No,No,Yes,"Sales Representative, Manufacturing, Quality, R&D, Supply Chain","Biopharmaceutical focus, science degrees valued",Biopharmaceutical company
Bristol Myers Squibb,Pharma,New York,34000,Veteran hiring initiatives,veteranrecruiting@bms.com,https://careers.bms.com,https://careers.bms.com/military,No,No,No,Yes,"Research Scientist, Manufacturing, Quality, Sales, Clinical Research","Oncology and specialty medicines focus",Biopharmaceutical research
Abbott Laboratories,Healthcare,Illinois,115000,Ongoing veteran recruitment,veterancareers@abbott.com,https://www.abbott.com/careers.html,https://www.abbott.com/careers/diversity-and-inclusion/veterans.html,Yes,No,No,Yes,"Medical Sales, Manufacturing, Quality, Engineer, R&D","Medical devices and diagnostics, technical roles",Diversified healthcare
Medtronic,Medical Devices,Minnesota,95000,Veteran hiring programs,veteranjobs@medtronic.com,https://jobs.medtronic.com,https://jobs.medtronic.com/military,Yes,No,No,Yes,"Clinical Specialist, Sales, Manufacturing Engineer, Quality, R&D","Medical device focus, clinical/technical background valued",Medical technology leader
Stryker,Medical Devices,Michigan,51000,Active veteran recruitment,veterancareers@stryker.com,https://careers.stryker.com,https://careers.stryker.com/diversity/veterans,Yes,No,No,Limited,"Sales Representative, Manufacturing, Quality Engineer, Service Tech, R&D","Orthopedic and surgical products, sales opportunities",Medical equipment manufacturer
GE Healthcare,Medical Devices,Illinois,50000,Veteran recruitment focus,veteranjobs.healthcare@ge.com,https://jobs.gecareers.com/healthcare,https://www.ge.com/careers/culture/veterans,Yes,No,No,Yes,"Field Service Engineer, Sales, Manufacturing, Software Engineer, Quality","Medical imaging focus, technical/engineering background",Healthcare technology division
Siemens Healthineers,Medical Devices,Pennsylvania,72000,Ongoing veteran hiring,veterancareers.healthineers@siemens.com,https://usa.healthcare.siemens.com/careers,https://new.siemens.com/us/en/company/jobs/search-careers/diversity-careers/veterans.html,Yes,No,No,Yes,"Field Service Engineer, Sales, Applications Specialist, Manufacturing, IT","Medical imaging and diagnostics, technical training",Medical technology company
Thermo Fisher Scientific,Life Sciences,Massachusetts,130000,Veteran recruitment programs,veterancareers@thermofisher.com,https://jobs.thermofisher.com,https://jobs.thermofisher.com/global/en/military,Yes,No,No,Yes,"Lab Technician, Manufacturing, Quality, Sales, R&D","Laboratory equipment and services, scientific background",Life sciences equipment
Gilead Sciences,Pharma,California,17000,Active veteran hiring,veteranjobs@gilead.com,https://gilead.wd1.myworkdayjobs.com/gileadcareers,https://www.gilead.com/about/careers/diversity-and-inclusion/military-veterans,No,No,No,Yes,"Research Scientist, Manufacturing, Clinical Research, Sales, Quality","Biopharmaceutical research, HIV and oncology focus",Biopharmaceutical company
Eli Lilly,Pharma,Indiana,43000,Veteran recruitment focus,veterancareers@lilly.com,https://careers.lilly.com,https://www.lilly.com/careers/diversity-and-inclusion/veterans,Yes,No,No,Yes,"Research Scientist, Manufacturing, Quality Control, Sales, Clinical","Diabetes and oncology focus, R&D opportunities",Major pharmaceutical company
Regeneron,Pharma,New York,13000,Ongoing veteran programs,veteranjobs@regeneron.com,https://careers.regeneron.com,https://www.regeneron.com/careers/diversity-and-inclusion/veterans,No,No,No,Yes,"Scientist, Manufacturing, Quality, Clinical Research, IT","Biotechnology research, scientific background required",Biopharmaceutical research
Amgen,Pharma,California,24000,Veteran hiring initiatives,veterancareers@amgen.com,https://careers.amgen.com,https://www.amgen.com/careers/diversity-and-inclusion/veterans,Yes,No,No,Yes,"Manufacturing Associate, Quality, Scientist, Sales, Supply Chain","Biotechnology focus, manufacturing opportunities",Biopharmaceutical company
Intel,Technology,California,121000,Ongoing veteran programs,veteranrecruiting@intel.com,https://jobs.intel.com,https://www.intel.com/content/www/us/en/jobs/culture/military-veterans.html,Yes,Yes,Yes,Yes,"Process Engineer, Software Developer, Hardware Engineer, Manufacturing Tech, Quality","Technical degrees valued, semiconductor industry",Semiconductor manufacturing
AMD,Technology,California,29000,Active veteran recruitment,veterancareers@amd.com,https://jobs.amd.com,https://www.amd.com/en/corporate/careers/diversity-and-inclusion/veterans,Yes,No,Yes,Yes,"Hardware Engineer, Software Engineer, Design Engineer, Quality, Supply Chain","Technical background required, semiconductor focus",Semiconductor design
Qualcomm,Technology,California,51000,Veteran hiring programs,veteranjobs@qualcomm.com,https://www.qualcomm.com/company/careers,https://www.qualcomm.com/company/careers/diversity-and-inclusion/veterans,Yes,No,Yes,Yes,"Software Engineer, Hardware Engineer, Test Engineer, Systems Engineer, Program Manager","Wireless technology focus, engineering degrees valued",Wireless technology leader
Oracle,Technology,Texas,164000,Ongoing veteran recruitment,veterancareers@oracle.com,https://www.oracle.com/careers,https://www.oracle.com/corporate/careers/diversity/veterans.html,Yes,No,Yes,Yes,"Software Engineer, Cloud Architect, Database Admin, Sales, Technical Support","Database and cloud focus, technical certifications helpful",Database and cloud software
Salesforce,Technology,California,79000,Veteran recruitment focus,veteranjobs@salesforce.com,https://www.salesforce.com/company/careers,https://www.salesforce.com/company/careers/culture/equality/veterans,Yes,No,No,Yes,"Software Engineer, Sales, Customer Success, Solution Engineer, Technical Support","CRM platform focus, Salesforce certifications valued",Cloud CRM leader
SAP,Technology,Pennsylvania,112000,Active veteran programs,veterancareers@sap.com,https://jobs.sap.com,https://www.sap.com/about/careers/diversity/veterans.html,Yes,No,No,Yes,"Software Developer, Consultant, Sales, Technical Support, Implementation","Enterprise software focus, business/technical background",Enterprise software company
Cisco,Technology,California,84900,Veteran hiring initiatives,veteranrecruiting@cisco.com,https://jobs.cisco.com,https://www.cisco.com/c/en/us/about/careers/we-are-cisco/veterans.html,Yes,No,Yes,Yes,"Network Engineer, Software Engineer, Technical Support, Sales, Cybersecurity","Networking focus, Cisco certifications valued",Networking equipment leader
Dell Technologies,Technology,Texas,120000,Ongoing veteran recruitment,veterancareers@dell.com,https://jobs.dell.com,https://jobs.dell.com/military,Yes,Yes,Yes,Yes,"Sales, Technical Support, Software Engineer, Supply Chain, Manufacturing","Hardware and services focus, technical support opportunities",Computer hardware and services
HP Inc,Technology,California,51000,Veteran recruitment programs,veteranjobs@hp.com,https://jobs.hp.com,https://www.hp.com/us-en/hp-information/about-hp/diversity/veterans.html,Yes,No,No,Yes,"Sales, Technical Support, Engineer, Manufacturing, Supply Chain","Printing and PC focus, technical and sales roles",Computer and printer manufacturer
VMware,Technology,California,38000,Active veteran hiring,veterancareers@vmware.com,https://careers.vmware.com,https://www.vmware.com/company/careers/diversity/veterans.html,Yes,No,Yes,Yes,"Software Engineer, Solutions Architect, Technical Support, Sales, Cloud Engineer","Virtualization and cloud focus, technical certifications",Cloud and virtualization software
ServiceNow,Technology,California,24000,Veteran recruitment focus,veteranjobs@servicenow.com,https://careers.servicenow.com,https://www.servicenow.com/company/careers/veterans.html,Yes,No,No,Yes,"Software Engineer, Technical Support, Sales, Implementation Consultant, Solution Engineer","IT service management platform, technical background",Cloud-based platform company
Accenture,Consulting,Ireland/US Operations,738000,Strong veteran hiring - Skills to Succeed,veterancareers@accenture.com,https://www.accenture.com/careers,https://www.accenture.com/us-en/careers/local/military-careers,Yes,Yes,Yes,Yes,"Consultant, Software Developer, Cybersecurity, Data Analyst, Project Manager","Consulting and technology services, diverse opportunities",Global consulting firm
Deloitte,Consulting,United Kingdom/US Operations,457000,Active veteran programs,veteranrecruiting@deloitte.com,https://www2.deloitte.com/careers,https://www2.deloitte.com/us/en/pages/careers/articles/join-deloitte-military-professionals.html,Yes,No,Yes,Yes,"Consultant, Auditor, Tax Specialist, Cybersecurity, Risk Advisory","Professional services, degrees/certifications valued",Big Four accounting/consulting
PwC,Consulting,United Kingdom/US Operations,364000,Veteran recruitment initiatives,veterancareers@pwc.com,https://www.pwc.com/careers,https://www.pwc.com/us/en/careers/experienced/military-professionals.html,Yes,No,Yes,Yes,"Auditor, Tax Consultant, Advisory Consultant, Cybersecurity, Risk Management","Professional services, CPA or relevant certifications",Big Four accounting/consulting
EY (Ernst & Young),Consulting,United Kingdom/US Operations,395000,Ongoing veteran hiring,veteranjobs@ey.com,https://www.ey.com/careers,https://www.ey.com/en_us/careers/military-professionals,Yes,No,Yes,Yes,"Auditor, Tax Advisor, Consultant, Cybersecurity, Data Analytics","Professional services firm, accounting/finance background",Big Four accounting/consulting
KPMG,Consulting,Netherlands/US Operations,273000,Veteran recruitment programs,veterancareers@kpmg.com,https://www.kpmg.us/careers.html,https://www.kpmg.us/careers/military.html,Yes,No,Yes,Yes,"Auditor, Tax Consultant, Advisory, Cybersecurity, Risk Advisory","Professional services, CPA valued",Big Four accounting/consulting
